x,y,out003_land_imperviousness_density_change_2024pr,out009_tree_cover_density_2024pr,out010_tree_cover_density_change_2024pr,out011_grassland_2024pr,out012_grassland_change_2024pr,out017_land_use_and_cover_nature_2k_2024pr,out040_plant_phenology_index_total_productivity_2024pr,out057_temperature_avg_absolute_change_2024pr_rcp85,out058_potential_evapotranspiration_relative_change_2024pr_rcp85,out059_precipitation_cum_relative_change_2024pr_rcp85,out065_number_species_cum_all_2024pr,out147_land_use_and_cover_change_2024pr,reconstruction_log_probability,percentile
10.26975,43.91975,-0.037001044,-0.746398608,0,1,-1,0,0.676216007,0.281235593,1.297500908,-1.456342236,-1.76934953,0,-6.381389141,"0p-25p"
10.27075,43.91875,-0.037001044,-0.052997643,0,0,0,0,-0.028525163,0.281235593,1.297500908,-1.456342236,-1.084713887,0,-4.742650509,25p-50p
10.27025,43.91825,-0.037001044,0.320372108,0,1,-1,0,1.864126594,0.281235593,1.297500908,-1.456342236,-1.032049606,0,-6.890991211,"0p-25p"
10.27025,43.91775,-0.037001044,-0.746398608,0,1,-1,0,-0.71968601,0.281235593,1.297500908,-1.456342236,-0.979385326,0,-6.044244289,"0p-25p"
10.27175,43.91775,-0.037001044,0.747080394,0,0,0,0,-0.792590297,0.281235593,1.297500908,-1.456342236,-1.084713887,0,-5.004374981,25p-50p
10.26725,43.91725,-0.037001044,-0.746398608,0,1,0,0,1.16224437,0.281235593,1.297500908,-1.456342236,-0.821392485,0,-6.161497116,"0p-25p"
10.26875,43.91725,-0.037001044,-0.746398608,0,1,-1,0,0.664780002,0.281235593,1.297500908,-1.456342236,-0.979385326,0,-6.224675179,"0p-25p"
10.26975,43.91725,-0.037001044,-0.746398608,0,0,0,0,1.182257215,0.281235593,1.297500908,-1.456342236,-0.979385326,0,-4.624429703,25p-50p
10.27175,43.91725,-0.037001044,0.773749662,0,0,0,0,-0.125730771,0.281235593,1.297500908,-1.456342236,-1.032049606,0,-5.131377697,25p-50p
10.26675,43.91675,-0.037001044,-0.746398608,0,1,0,0,-0.405911805,0.281235593,1.297500908,-1.456342236,-0.821392485,0,-5.912134647,"0p-25p"
10.26725,43.91675,-0.037001044,-0.746398608,0,1,-1,0,0.860620799,0.281235593,1.297500908,-1.456342236,-0.821392485,0,-6.259018898,"0p-25p"
10.26775,43.91675,-0.037001044,-0.746398608,0,1,-1,0,-0.373033481,0.281235593,1.297500908,-1.456342236,-0.821392485,0,-5.964449406,"0p-25p"
10.26875,43.91675,-0.037001044,-0.746398608,0,1,-1,0,0.999282006,0.281235593,1.297500908,-1.456342236,-0.926721046,0,-6.209282398,"0p-25p"
